brand,Model,Price,Rating,processor_brand,processor_tier,num_cores,num_threads,ram_memory,primary_storage_type,primary_storage_capacity,secondary_storage_type,secondary_storage_capacity,gpu_brand,gpu_type,is_touch_screen,display_size,resolution_width,resolution_height,OS,year_of_warranty,product_name,slug
acer,Acer One 14 Z8-415 Laptop (11th Gen Core i5 / 8GB/ 512GB SSD/ Win11 Home),39990,58.0,intel,core i5,4,8,8,ssd,512,no secondary storage,0,intel,integrated,False,14.0,1920,1080,windows,1,Acer One 14 Z8-415 Laptop (11th Gen Core i5 / 8GB/ 512GB SSD/ Win11 Home),acer-one-14-z8-415-laptop-11th-gen-core-i5-8gb-512gb-ssd-win11-home
dell,Dell Alienware X16 R1 Gaming Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win 11/ 12GB Graph),388490,82.0,intel,core i9,14,20,32,ssd,1024,no secondary storage,0,nvidia,dedicated,False,16.0,3200,1800,windows,1,Dell Alienware X16 R1 Gaming Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win 11/ 12GB Graph),dell-alienware-x16-r1-gaming-laptop-13th-gen-core-i9-32gb-1tb-ssd-win-11-12gb-graph
hp,HP 15s-fy5003TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),40100,54.0,intel,core i3,6,8,8,ssd,512,no secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1,HP 15s-fy5003TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),hp-15s-fy5003tu-laptop-12th-gen-core-i3-8gb-512gb-ssd-win11-home
dell,Dell Alienware M18 R1 Gaming Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win 11/ 12GB Graph),368490,83.0,intel,core i9,14,20,32,ssd,1024,no secondary storage,0,nvidia,dedicated,False,18.0,3200,1800,windows,1,Dell Alienware M18 R1 Gaming Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win 11/ 12GB Graph),dell-alienware-m18-r1-gaming-laptop-13th-gen-core-i9-32gb-1tb-ssd-win-11-12gb-graph
acer,Acer One 11 Z8-284 UN.013SI.014 Laptop ( Intel Celeron N4500/ 8GB/ 256GB SSD/ Win11 Home),36800,47.0,intel,celeron,2,2,8,ssd,256,no secondary storage,0,intel,integrated,False,11.6,1366,768,windows,1,Acer One 11 Z8-284 UN.013SI.014 Laptop ( Intel Celeron N4500/ 8GB/ 256GB SSD/ Win11 Home),acer-one-11-z8-284-un-013si-014-laptop-intel-celeron-n4500-8gb-256gb-ssd-win11-home
hp,HP 15-fc0030AU Laptop (AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11 Home),46490,54.0,amd,ryzen 5,4,8,16,ssd,512,no secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1,HP 15-fc0030AU Laptop (AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11 Home),hp-15-fc0030au-laptop-amd-ryzen-5-7520u-16gb-512gb-ssd-win11-home
acer,Acer 16 Predator Neo NH.QLTSI.001 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),104999,65.0,intel,core i5,14,20,16,ssd,512,no secondary storage,0,nvidia,dedicated,False,16.0,2560,1600,windows,1,Acer 16 Predator Neo NH.QLTSI.001 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),acer-16-predator-neo-nh-qltsi-001-laptop-13th-gen-core-i5-16gb-512gb-ssd-win11-6gb-graph
hp,HP 15-fd0018TU Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),47650,51.0,intel,core i3,6,8,8,ssd,512,no secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1,HP 15-fd0018TU Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),hp-15-fd0018tu-laptop-13th-gen-core-i3-8gb-512gb-ssd-win11-home
acer,Acer Predator Helios Neo 16 NH.QLTSI.002 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),114990,66.0,intel,core i7,16,24,16,ssd,512,no secondary storage,0,nvidia,dedicated,False,16.0,2560,1600,windows,1,Acer Predator Helios Neo 16 NH.QLTSI.002 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),acer-predator-helios-neo-16-nh-qltsi-002-laptop-13th-gen-core-i7-16gb-512gb-ssd-win11-6gb-graph
hp,HP 15-fd0006TU Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),46990,51.0,intel,core i3,6,8,8,ssd,512,no secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1,HP 15-fd0006TU Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),hp-15-fd0006tu-laptop-13th-gen-core-i3-8gb-512gb-ssd-win11-home
hp,HP 15-fd0011TU Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),60490,54.0,intel,core i5,10,12,8,ssd,512,no secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1,HP 15-fd0011TU Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),hp-15-fd0011tu-laptop-13th-gen-core-i5-8gb-512gb-ssd-win11-home
hp,HP Victus 15-fb0122AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),49990,67.0,amd,ryzen 5,6,12,8,ssd,512,no secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1,HP Victus 15-fb0122AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),hp-victus-15-fb0122ax-gaming-laptop-amd-ryzen-5-5600h-8gb-512gb-ssd-win11-4gb-graph
hp,HP 15-fd0012TU Laptop (13th Gen Core i5/ 8GB/ 1TB SSD/ Win11 Home),65590,56.0,intel,core i5,10,12,8,ssd,1024,no secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1,HP 15-fd0012TU Laptop (13th Gen Core i5/ 8GB/ 1TB SSD/ Win11 Home),hp-15-fd0012tu-laptop-13th-gen-core-i5-8gb-1tb-ssd-win11-home
realme,Realme Book Prime CloudPro002 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),42990,62.0,intel,core i5,4,8,8,ssd,512,no secondary storage,0,intel,integrated,False,14.0,2160,1440,windows,1,Realme Book Prime CloudPro002 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),realme-book-prime-cloudpro002-laptop-11th-gen-core-i5-8gb-512gb-ssd-win11
hp,HP ProBook 440 G8 5D6U3PA Notebook PC (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),71000,67.0,intel,core i5,4,8,8,ssd,512,no secondary storage,0,intel,integrated,False,14.0,1366,768,windows,1,HP ProBook 440 G8 5D6U3PA Notebook PC (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),hp-probook-440-g8-5d6u3pa-notebook-pc-11th-gen-core-i5-8gb-512gb-ssd-win11
asus,Asus VivoBook 15 X515MA-BR024WS Laptop (Celeron N4020/ 8GB/ 512GB SSD/ Win11 Home),30927,45.0,intel,celeron,2,2,8,ssd,512,no secondary storage,0,intel,integrated,False,15.6,1366,768,windows,1,Asus VivoBook 15 X515MA-BR024WS Laptop (Celeron N4020/ 8GB/ 512GB SSD/ Win11 Home),asus-vivobook-15-x515ma-br024ws-laptop-celeron-n4020-8gb-512gb-ssd-win11-home
dell,Dell Vostro 15 3510 2023 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),47990,63.0,intel,core i5,4,8,8,ssd,512,no secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1,Dell Vostro 15 3510 2023 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),dell-vostro-15-3510-2023-laptop-11th-gen-core-i5-8gb-512gb-ssd-win11-home
asus,Asus Vivobook 15 2023 X1504VA-NJ321WS Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),46288,56.0,intel,core i3,6,8,8,ssd,512,no secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1,Asus Vivobook 15 2023 X1504VA-NJ321WS Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),asus-vivobook-15-2023-x1504va-nj321ws-laptop-13th-gen-core-i3-8gb-512gb-ssd-win11
asus,Asus Vivobook Pro 16 OLED 2023 K6602VU-LZ542WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),124990,78.0,intel,core i5,12,16,16,ssd,512,no secondary storage,0,nvidia,dedicated,False,16.0,3200,2000,windows,1,Asus Vivobook Pro 16 OLED 2023 K6602VU-LZ542WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),asus-vivobook-pro-16-oled-2023-k6602vu-lz542ws-laptop-13th-gen-core-i5-16gb-512gb-ssd-win11-6gb-graph
dell,Dell Vostro 3420 Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11),51990,63.0,intel,core i5,4,8,16,ssd,512,no secondary storage,0,intel,integrated,False,14.0,1920,1080,windows,1,Dell Vostro 3420 Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11),dell-vostro-3420-laptop-11th-gen-core-i5-16gb-512gb-ssd-win11
asus,Asus Vivobook Go 15 OLED 2023 E1504FA-LK545WS Laptop (Ryzen 5 7520U / 16GB/ 512GB SSD/ Win11 Home),58990,60.0,amd,ryzen 5,4,8,16,ssd,512,no secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1,Asus Vivobook Go 15 OLED 2023 E1504FA-LK545WS Laptop (Ryzen 5 7520U / 16GB/ 512GB SSD/ Win11 Home),asus-vivobook-go-15-oled-2023-e1504fa-lk545ws-laptop-ryzen-5-7520u-16gb-512gb-ssd-win11-home
dell,Dell Vostro 3425 Laptop (AMD Ryzen 5-5500U/ 8GB/ 512GB SSD/ Win11 Home),38490,59.0,amd,ryzen 5,6,12,8,ssd,512,no secondary storage,0,amd,integrated,False,14.0,1920,1080,windows,1,Dell Vostro 3425 Laptop (AMD Ryzen 5-5500U/ 8GB/ 512GB SSD/ Win11 Home),dell-vostro-3425-laptop-amd-ryzen-5-5500u-8gb-512gb-ssd-win11-home
acer,Acer Aspire 5 A515-56G Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 2GB Graph),44994,64.0,intel,core i5,4,8,8,ssd,512,no secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1,Acer Aspire 5 A515-56G Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 2GB Graph),acer-aspire-5-a515-56g-laptop-11th-gen-core-i5-8gb-512gb-ssd-win11-home-2gb-graph
acer,Acer Nitro 5 AN515-46 Gaming Laptop (Ryzen 5 6600H/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),88990,65.0,amd,ryzen 5,6,12,16,ssd,1024,no secondary storage,0,nvidia,dedicated,False,15.6,2560,1440,windows,1,Acer Nitro 5 AN515-46 Gaming Laptop (Ryzen 5 6600H/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),acer-nitro-5-an515-46-gaming-laptop-ryzen-5-6600h-16gb-1tb-ssd-win11-home-4gb-graph
msi,MSI Thin GF63 12VF-268IN Laptop (12th Gen Core i5/ 16GB/ 1TB 256GB SSD/ Win11/ 8GB Graph),96990,77.0,intel,core i5,8,12,16,hdd,1024,ssd,256,nvidia,dedicated,False,15.6,1920,1080,windows,0,MSI Thin GF63 12VF-268IN Laptop (12th Gen Core i5/ 16GB/ 1TB 256GB SSD/ Win11/ 8GB Graph),msi-thin-gf63-12vf-268in-laptop-12th-gen-core-i5-16gb-1tb-256gb-ssd-win11-8gb-graph
